Accel_x,Accel_y,Accel_z
0.29,-1.185,1.532
0.351,-1.268,1.538
0.421,-1.347,1.536
0.456,-1.421,1.512
0.515,-1.454,1.491
0.57,-1.509,1.441
0.597,-1.534,1.374
0.651,-1.571,1.336
0.675,-1.578,1.261
0.717,-1.57,1.183
0.752,-1.541,1.143
0.767,-1.488,1.062
0.794,-1.456,0.978
0.814,-1.383,0.938
0.82,-1.286,0.861
0.825,-1.223,0.799
0.827,-1.049,0.782
0.825,-0.826,0.768
0.813,-0.611,0.775
0.795,-0.509,0.775
0.775,-0.313,0.773
0.759,-0.085,0.765
0.703,0.054,0.771
0.608,0.395,0.788
0.483,0.767,0.846
0.326,1.118,0.919
0.236,1.278,0.99
0.037,1.55,1.019
-0.132,1.745,1.064
-0.217,1.832,1.081
-0.38,1.978,1.082
-0.576,2.109,1.075
-0.586,2.175,1.072
-0.705,2.3,1.083
-0.756,2.407,1.135
-0.844,2.447,1.211
-0.922,2.498,1.249
-0.959,2.514,1.318
-0.984,2.582,1.383
-0.954,2.219,1.28
-1.143,2.311,1.234
-1.026,2.226,1.223
-0.986,2.108,1.126
-0.955,1.985,1.088
-0.923,1.867,1.026
-0.86,1.79,0.938
-0.834,1.641,0.88
-0.813,1.562,0.794
-0.723,1.382,0.755
-0.654,1.364,0.732
-0.6,1.247,0.688
-0.558,1.193,0.651
-0.463,1.067,0.63
-0.416,0.945,0.595
-0.324,0.897,0.582
-0.153,0.839,0.582
-0.199,0.824,0.606
-0.141,0.797,0.628
-0.113,0.737,0.667
-0.065,0.714,0.694
-0.035,0.59,0.693
-0.019,0.639,0.754
0.139,0.547,0.813
0.112,0.524,0.787
0.092,0.536,0.834
0.178,0.497,0.874
0.176,0.617,0.879
0.169,0.506,0.913
0.184,0.514,0.919
0.163,0.566,0.937
0.163,0.568,0.965
0.138,0.577,0.972
0.114,0.653,0.979
0.102,0.63,0.959
0.042,0.679,0.95
0.041,0.729,0.964
0.005,0.759,0.96
-0.032,0.874,0.984
-0.105,0.924,1.031
-0.142,1.005,1.061
-0.163,0.991,1.08
-0.194,0.98,1.078
-0.191,0.914,1.057
-0.168,0.864,1.033
-0.126,0.783,0.986
-0.088,0.728,0.941
-0.023,0.592,0.92
0.016,0.506,0.901
0.112,0.45,0.892
0.149,0.359,0.884
0.211,0.319,0.892
0.255,0.255,0.9
0.27,0.235,0.921
0.282,0.205,0.936
0.289,0.203,0.97
0.302,0.197,0.983
0.3,0.204,1.008
0.281,0.216,1.037
0.246,0.245,1.054
0.223,0.254,1.086
0.185,0.268,1.115
0.165,0.271,1.127
0.16,0.262,1.145
0.153,0.26,1.159
0.141,0.27,1.166
0.133,0.278,1.203
0.123,0.279,1.226
0.126,0.247,1.267
0.145,0.216,1.282
0.162,0.142,1.294
0.203,0.099,1.287
0.343,-0.855,0.864
0.352,-0.902,0.884
0.357,-0.941,0.904
0.357,-0.972,0.919
0.355,-0.989,0.927
0.358,-1.026,0.942
0.359,-1.046,0.956
0.365,-1.083,0.965
0.371,-1.118,0.978
0.372,-1.15,0.987
0.372,-1.162,0.991
0.368,-1.192,0.991
0.366,-1.22,0.983
0.36,-1.237,0.964
0.357,-1.258,0.954
0.361,-1.266,0.936
0.369,-1.276,0.927
0.377,-1.284,0.907
0.389,-1.283,0.893
0.386,-1.27,0.888
0.381,-1.256,0.89
0.375,-1.235,0.892
0.374,-1.217,0.901
0.379,-1.208,0.91
0.397,-1.198,0.913
0.407,-1.176,0.925
0.44,-1.156,0.931
0.472,-1.14,0.935
0.518,-1.109,0.955
0.548,-1.092,0.983
0.613,-1.066,0.999
0.673,-1.037,1.035
0.701,-1.025,1.077
0.752,-0.987,1.123
0.803,-0.919,1.144
0.823,-0.776,1.2
0.858,-0.675,1.236
0.861,-0.434,1.31
0.85,-0.3,1.391
0.802,-0.028,1.428
0.761,0.233,1.496
0.64,0.33,1.591
0.626,0.609,1.676
0.436,0.728,1.435
0.163,1.037,1.541
0.088,1.35,1.607
-0.122,1.454,1.564
-0.456,1.821,1.536
-0.616,2.011,1.592
-0.881,2.34,1.638
