Accel_x,Accel_y,Accel_z
-0.478,-0.473,-0.602
-0.477,-0.477,-0.592
-0.472,-0.484,-0.57
-0.472,-0.485,-0.522
-0.486,-0.486,-0.491
-0.507,-0.5,-0.434
-0.509,-0.51,-0.396
-0.495,-0.513,-0.387
-0.277,0.591,-1.192
-0.301,0.558,-1.2
-0.305,0.49,-1.242
-0.29,0.402,-1.311
-0.228,0.358,-1.378
-0.169,0.286,-1.403
-0.156,0.234,-1.436
-0.15,0.22,-1.438
-0.151,0.211,-1.419
-0.153,0.218,-1.363
-0.174,0.26,-1.232
-0.215,0.34,-1.159
-0.245,0.418,-1.03
-0.3,0.455,-0.927
-0.341,0.517,-0.887
-0.356,0.549,-0.836
-0.37,0.556,-0.823
-0.378,0.545,-0.821
-0.38,0.527,-0.848
-0.376,0.518,-0.992
-0.365,0.505,-0.91
-0.355,0.496,-0.96
-0.325,0.496,-0.985
-0.29,0.486,-1.027
-0.277,0.48,-1.055
-0.262,0.476,-1.066
-0.259,0.491,-1.081
-0.243,0.506,-1.077
-0.209,0.571,-1.075
-0.188,0.748,-1.054
-0.201,0.608,-1.055
-0.224,0.527,-1.07
-0.236,0.52,-1.092
-0.203,0.531,-1.093
-0.148,0.577,-1.046
-0.131,0.646,-1.015
-0.116,0.667,-1.073
-0.112,0.629,-1.031
-0.14,0.618,-1.301
-0.12,0.588,-1.315
-0.127,0.621,-1.403
-0.12,0.585,-1.484
-0.093,0.551,-1.496
-0.111,0.577,-1.613
-0.123,0.576,-1.684
-0.15,0.554,-1.741
-0.161,0.523,-1.821
-0.148,0.507,-1.847
-0.122,0.511,-1.858
-0.112,0.547,-1.865
-0.097,0.557,-1.875
-0.095,0.571,-1.891
-0.094,0.609,-1.891
-0.081,0.634,-1.889
-0.055,0.679,-1.902
-0.052,0.702,-1.891
-0.066,0.722,-1.879
-0.077,0.784,-1.861
-0.078,0.813,-1.832
-0.067,0.851,-1.814
-0.065,0.845,-1.788
-0.071,0.837,-1.762
-0.069,0.823,-1.737
-0.052,0.762,-1.678
-0.002,0.73,-1.65
0.014,0.662,-1.604
0.021,0.63,-1.522
